timestamp,run_id,seed,a_slot,label_a,hash_a,label_b,hash_b,winner,a_ships,b_ships,ship_margin,steps,elapsed,p0_status,p1_status,error,replay_path
2026-05-29T20:48:43,20260529-204830,1000,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2611,-2611,180,13.6,DONE,DONE,,
2026-05-29T20:48:57,20260529-204830,1000,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2611,-2611,180,13.14,DONE,DONE,,
2026-05-29T20:49:03,20260529-204830,1001,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,2272,0,2272,221,6.85,DONE,DONE,,
2026-05-29T20:49:11,20260529-204830,1001,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,2099,0,2099,221,7.01,DONE,DONE,,
2026-05-29T20:49:37,20260529-204830,1002,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,5014,0,5014,305,26.38,DONE,DONE,,
2026-05-29T20:49:58,20260529-204830,1002,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,3753,0,3753,253,20.92,DONE,DONE,,
2026-05-29T20:50:07,20260529-204830,1003,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2319,-2319,151,9.15,DONE,DONE,,
2026-05-29T20:50:17,20260529-204830,1003,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2319,-2319,151,9.56,DONE,DONE,,
2026-05-29T20:50:30,20260529-204830,1004,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,4528,-4528,180,13.38,DONE,DONE,,
2026-05-29T20:50:45,20260529-204830,1004,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,4528,-4528,180,14.55,DONE,DONE,,
2026-05-29T20:51:03,20260529-204830,1005,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,4063,0,4063,177,18.09,DONE,DONE,,
2026-05-29T20:51:13,20260529-204830,1005,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,4944,0,4944,201,10.19,DONE,DONE,,
2026-05-29T20:51:25,20260529-204830,1006,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,1776,-1776,198,11.85,DONE,DONE,,
2026-05-29T20:51:35,20260529-204830,1006,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2334,-2334,194,10.18,DONE,DONE,,
2026-05-29T20:51:44,20260529-204830,1007,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,3431,-3431,157,8.76,DONE,DONE,,
2026-05-29T20:51:53,20260529-204830,1007,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,3431,-3431,157,8.84,DONE,DONE,,
2026-05-29T20:52:05,20260529-204830,1008,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,3205,0,3205,194,11.66,DONE,DONE,,
2026-05-29T20:52:16,20260529-204830,1008,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,3182,0,3182,194,11.07,DONE,DONE,,
2026-05-29T20:52:24,20260529-204830,1009,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,4536,0,4536,150,8.0,DONE,DONE,,
2026-05-29T20:52:32,20260529-204830,1009,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,4536,0,4536,150,7.82,DONE,DONE,,
2026-05-29T20:52:36,20260529-204830,1010,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,3095,0,3095,205,4.59,DONE,DONE,,
2026-05-29T20:52:41,20260529-204830,1010,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,3253,0,3253,205,4.66,DONE,DONE,,
2026-05-29T20:52:46,20260529-204830,1011,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,2439,0,2439,164,4.91,DONE,DONE,,
2026-05-29T20:52:51,20260529-204830,1011,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,2023,0,2023,150,4.66,DONE,DONE,,
2026-05-29T20:53:03,20260529-204830,1012,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2668,-2668,227,11.94,DONE,DONE,,
2026-05-29T20:53:15,20260529-204830,1012,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2668,-2668,227,11.77,DONE,DONE,,
2026-05-29T20:53:25,20260529-204830,1013,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,3413,0,3413,145,10.13,DONE,DONE,,
2026-05-29T20:53:36,20260529-204830,1013,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,3284,0,3284,158,11.13,DONE,DONE,,
2026-05-29T20:53:45,20260529-204830,1014,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,3809,-3809,183,8.82,DONE,DONE,,
2026-05-29T20:53:54,20260529-204830,1014,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2790,-2790,185,9.31,DONE,DONE,,
2026-05-29T20:54:10,20260529-204830,1015,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,4046,-4046,208,15.18,DONE,DONE,,
2026-05-29T20:54:25,20260529-204830,1015,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,3839,-3839,198,15.18,DONE,DONE,,
2026-05-29T20:54:34,20260529-204830,1016,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,2812,0,2812,158,9.16,DONE,DONE,,
2026-05-29T20:54:44,20260529-204830,1016,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,3883,0,3883,175,9.91,DONE,DONE,,
2026-05-29T20:55:02,20260529-204830,1017,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,4336,0,4336,205,17.95,DONE,DONE,,
2026-05-29T20:55:16,20260529-204830,1017,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,2593,0,2593,157,14.07,DONE,DONE,,
2026-05-29T20:55:27,20260529-204830,1018,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2769,-2769,160,10.45,DONE,DONE,,
2026-05-29T20:55:37,20260529-204830,1018,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2769,-2769,160,10.52,DONE,DONE,,
2026-05-29T20:55:44,20260529-204830,1019,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,1429,-1429,143,7.04,DONE,DONE,,
2026-05-29T20:55:51,20260529-204830,1019,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,1429,-1429,143,6.39,DONE,DONE,,
2026-05-29T20:56:10,20260529-204830,1020,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,3706,-3706,226,19.46,DONE,DONE,,
2026-05-29T20:56:30,20260529-204830,1020,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,3706,-3706,226,19.63,DONE,DONE,,
2026-05-29T20:56:37,20260529-204830,1021,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2246,-2246,160,7.6,DONE,DONE,,
2026-05-29T20:56:43,20260529-204830,1021,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2470,-2470,141,5.65,DONE,DONE,,
2026-05-29T20:57:01,20260529-204830,1022,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,4168,0,4168,224,17.34,DONE,DONE,,
2026-05-29T20:57:16,20260529-204830,1022,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,4418,0,4418,222,15.61,DONE,DONE,,
2026-05-29T20:57:41,20260529-204830,1023,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,3054,-3054,317,25.02,DONE,DONE,,
2026-05-29T20:58:14,20260529-204830,1023,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,3343,-3343,342,33.04,DONE,DONE,,
2026-05-29T20:58:29,20260529-204830,1024,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,3102,-3102,174,14.24,DONE,DONE,,
2026-05-29T20:58:42,20260529-204830,1024,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,3102,-3102,174,13.17,DONE,DONE,,
2026-05-29T20:58:48,20260529-204830,1025,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,1609,0,1609,167,6.54,DONE,DONE,,
2026-05-29T20:58:55,20260529-204830,1025,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,1849,0,1849,175,6.49,DONE,DONE,,
2026-05-29T20:59:04,20260529-204830,1026,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,3860,0,3860,135,9.39,DONE,DONE,,
2026-05-29T20:59:13,20260529-204830,1026,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,4015,0,4015,133,8.68,DONE,DONE,,
2026-05-29T20:59:18,20260529-204830,1027,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,2116,0,2116,124,4.54,DONE,DONE,,
2026-05-29T20:59:22,20260529-204830,1027,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,2570,0,2570,131,4.59,DONE,DONE,,
2026-05-29T20:59:34,20260529-204830,1028,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,6295,0,6295,173,11.82,DONE,DONE,,
2026-05-29T20:59:43,20260529-204830,1028,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,3099,0,3099,119,8.38,DONE,DONE,,
2026-05-29T21:00:00,20260529-204830,1029,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,3613,-3613,204,17.75,DONE,DONE,,
2026-05-29T21:00:18,20260529-204830,1029,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,3613,-3613,204,17.11,DONE,DONE,,
2026-05-29T21:00:30,20260529-204830,1030,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2966,-2966,173,12.31,DONE,DONE,,
2026-05-29T21:00:42,20260529-204830,1030,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2966,-2966,173,12.1,DONE,DONE,,
2026-05-29T21:00:52,20260529-204830,1031,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,4933,0,4933,171,10.11,DONE,DONE,,
2026-05-29T21:01:02,20260529-204830,1031,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,4105,0,4105,149,9.47,DONE,DONE,,
2026-05-29T21:01:21,20260529-204830,1032,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,3831,-3831,216,18.85,DONE,DONE,,
2026-05-29T21:01:34,20260529-204830,1032,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,3458,-3458,184,13.18,DONE,DONE,,
2026-05-29T21:01:42,20260529-204830,1033,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2545,-2545,150,7.98,DONE,DONE,,
2026-05-29T21:01:51,20260529-204830,1033,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2545,-2545,150,8.84,DONE,DONE,,
2026-05-29T21:01:58,20260529-204830,1034,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,1886,-1886,161,7.27,DONE,DONE,,
2026-05-29T21:02:05,20260529-204830,1034,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,1886,-1886,161,7.02,DONE,DONE,,
2026-05-29T21:02:18,20260529-204830,1035,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,4570,-4570,153,13.08,DONE,DONE,,
2026-05-29T21:02:33,20260529-204830,1035,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,4384,-4384,173,14.88,DONE,DONE,,
2026-05-29T21:02:54,20260529-204830,1036,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,4018,0,4018,216,20.9,DONE,DONE,,
2026-05-29T21:03:23,20260529-204830,1036,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,4278,0,4278,263,28.99,DONE,DONE,,
2026-05-29T21:03:40,20260529-204830,1037,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,4313,0,4313,175,16.79,DONE,DONE,,
2026-05-29T21:03:56,20260529-204830,1037,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,3832,0,3832,158,15.65,DONE,DONE,,
2026-05-29T21:04:12,20260529-204830,1038,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,4160,0,4160,256,16.16,DONE,DONE,,
2026-05-29T21:04:36,20260529-204830,1038,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,3183,0,3183,330,23.8,DONE,DONE,,
2026-05-29T21:04:49,20260529-204830,1039,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,2983,0,2983,219,13.34,DONE,DONE,,
2026-05-29T21:05:05,20260529-204830,1039,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,3565,0,3565,267,15.78,DONE,DONE,,
2026-05-29T21:05:15,20260529-204830,1040,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,3788,0,3788,139,10.08,DONE,DONE,,
2026-05-29T21:05:30,20260529-204830,1040,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,6632,-6632,227,14.67,DONE,DONE,,
2026-05-29T21:05:42,20260529-204830,1041,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,3352,0,3352,163,11.85,DONE,DONE,,
2026-05-29T21:05:55,20260529-204830,1041,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,3193,0,3193,167,12.8,DONE,DONE,,
2026-05-29T21:06:12,20260529-204830,1042,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,4446,-4446,238,17.25,DONE,DONE,,
2026-05-29T21:06:23,20260529-204830,1042,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,3131,-3131,159,11.02,DONE,DONE,,
2026-05-29T21:06:36,20260529-204830,1043,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2747,-2747,189,12.79,DONE,DONE,,
2026-05-29T21:06:49,20260529-204830,1043,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2747,-2747,189,12.83,DONE,DONE,,
2026-05-29T21:07:02,20260529-204830,1044,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,5770,0,5770,219,13.31,DONE,DONE,,
2026-05-29T21:07:16,20260529-204830,1044,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,4142,-4142,200,13.74,DONE,DONE,,
2026-05-29T21:07:25,20260529-204830,1045,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2666,-2666,140,9.01,DONE,DONE,,
2026-05-29T21:07:34,20260529-204830,1045,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2666,-2666,140,8.8,DONE,DONE,,
2026-05-29T21:07:49,20260529-204830,1046,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,1992,-1992,174,14.66,DONE,DONE,,
2026-05-29T21:08:03,20260529-204830,1046,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,1992,-1992,174,14.53,DONE,DONE,,
2026-05-29T21:08:16,20260529-204830,1047,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2703,-2703,178,12.92,DONE,DONE,,
2026-05-29T21:08:29,20260529-204830,1047,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,2703,-2703,178,12.84,DONE,DONE,,
2026-05-29T21:08:36,20260529-204830,1048,0,agent_1,49bf8cf7,agent_4,e9fb64bb,A,3279,0,3279,135,6.41,DONE,DONE,,
2026-05-29T21:08:42,20260529-204830,1048,1,agent_1,49bf8cf7,agent_4,e9fb64bb,A,3279,0,3279,135,6.65,DONE,DONE,,
2026-05-29T21:08:53,20260529-204830,1049,0,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,1249,-1249,109,11.02,DONE,DONE,,
2026-05-29T21:09:05,20260529-204830,1049,1,agent_1,49bf8cf7,agent_4,e9fb64bb,B,0,1249,-1249,109,11.31,DONE,DONE,,
2026-05-29T21:15:48,20260529-211310,1000,0,agent_1,49bf8cf7,agent_4,81784800,B,6964,10245,-3281,500,157.78,DONE,DONE,,
2026-05-29T21:18:42,20260529-211310,1000,1,agent_1,49bf8cf7,agent_4,81784800,B,867,25603,-24736,500,173.8,DONE,DONE,,
2026-05-29T21:19:11,20260529-211310,1001,0,agent_1,49bf8cf7,agent_4,81784800,B,0,1231,-1231,119,29.05,DONE,DONE,,
2026-05-29T21:20:46,20260529-211310,1001,1,agent_1,49bf8cf7,agent_4,81784800,A,2893,0,2893,317,94.55,DONE,DONE,,
2026-05-29T21:22:14,20260529-211310,1002,0,agent_1,49bf8cf7,agent_4,81784800,B,0,2676,-2676,138,88.46,DONE,DONE,,
2026-05-29T21:26:44,20260529-211310,1002,1,agent_1,49bf8cf7,agent_4,81784800,B,249,28320,-28071,500,269.66,DONE,DONE,,
